Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1930;1930-07-13 00:00:00.000;" 15:00 ";Group 1;Pocitos;"Montevideo ";Uruguay;France;4;1;Mexico;" "
1930;1930-07-13 00:00:00.000;" 15:00 ";Group 4;Parque Central;"Montevideo ";Uruguay;USA;3;0;Belgium;" "
1930;1930-07-14 00:00:00.000;" 12:45 ";Group 2;Parque Central;"Montevideo ";Uruguay;Yugoslavia;2;1;Brazil;" "
1930;1930-07-14 00:00:00.000;" 14:50 ";Group 3;Pocitos;"Montevideo ";Uruguay;Romania;3;1;Peru;" "
1930;1930-07-15 00:00:00.000;" 16:00 ";Group 1;Parque Central;"Montevideo ";Uruguay;Argentina;1;0;France;" "
1930;1930-07-16 00:00:00.000;" 14:45 ";Group 1;Parque Central;"Montevideo ";Uruguay;Chile;3;0;Mexico;" "
1930;1930-07-17 00:00:00.000;" 12:45 ";Group 2;Parque Central;"Montevideo ";Uruguay;Yugoslavia;4;0;Bolivia;" "
1930;1930-07-17 00:00:00.000;" 14:45 ";Group 4;Parque Central;"Montevideo ";Uruguay;USA;3;0;Paraguay;" "
1930;1930-07-18 00:00:00.000;" 14:30 ";Group 3;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;1;0;Peru;" "
1930;1930-07-19 00:00:00.000;" 12:50 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Chile;1;0;France;" "
1930;1930-07-19 00:00:00.000;" 15:00 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Argentina;6;3;Mexico;" "
1930;1930-07-20 00:00:00.000;" 13:00 ";Group 2;Estadio Centenario;"Montevideo ";Uruguay;Brazil;4;0;Bolivia;" "
1930;1930-07-20 00:00:00.000;" 15:00 ";Group 4;Estadio Centenario;"Montevideo ";Uruguay;Paraguay;1;0;Belgium;" "
1930;1930-07-21 00:00:00.000;" 14:50 ";Group 3;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;4;0;Romania;" "
1930;1930-07-22 00:00:00.000;" 14:45 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Argentina;3;1;Chile;" "
1930;1930-07-26 00:00:00.000;" 14:45 ";Semi-finals;Estadio Centenario;"Montevideo ";Uruguay;Argentina;6;1;USA;" "
1930;1930-07-27 00:00:00.000;" 14:45 ";Semi-finals;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;6;1;Yugoslavia;" "
1930;1930-07-30 00:00:00.000;" 14:15 ";Final;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;4;2;Argentina;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Stadio Benito Mussolini;"Turin ";Italy;Austria;3;2;France;"Austria win after extra time "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Giorgio Ascarelli;"Naples ";Italy;Hungary;4;2;Egypt;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;San Siro;"Milan ";Italy;Switzerland;3;2;Netherlands;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Littorale;"Bologna ";Italy;Sweden;3;2;Argentina;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Giovanni Berta;"Florence ";Italy;Germany;5;2;Belgium;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Luigi Ferraris;"Genoa ";Italy;Spain;3;1;Brazil;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Nazionale PNF;"Rome ";Italy;Italy;7;1;USA;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Littorio;"Trieste ";Italy;Czechoslovakia;2;1;Romania;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Stadio Benito Mussolini;"Turin ";Italy;Czechoslovakia;3;2;Switzerland;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;San Siro;"Milan ";Italy;Germany;2;1;Sweden;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Italy;1;1;Spain;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Littorale;"Bologna ";Italy;Austria;2;1;Hungary;" "
